col1-time col2-mc1.x[0] col3-mc1.x[1] col4-mc1.y[0] 
483 95.000000 1.000000 1.000000 
484 94.000000 1.000000 1.000000 
485 93.000000 1.000000 1.000000 
486 92.000000 1.000000 1.000000 
487 91.000000 1.000000 1.000000 
488 90.000000 1.000000 1.000000 
489 89.000000 1.000000 1.000000 
490 88.000000 1.000000 1.000000 
491 87.000000 1.000000 1.000000 
492 86.000000 1.000000 1.000000 
493 85.000000 1.000000 1.000000 
494 84.000000 1.000000 1.000000 
495 83.000000 1.000000 1.000000 
496 82.000000 1.000000 1.000000 
497 81.000000 1.000000 1.000000 
498 80.000000 1.000000 1.000000 
499 79.000000 1.000000 1.000000 
500 78.000000 1.000000 1.000000 
501 77.000000 1.000000 1.000000 
502 76.000000 1.000000 1.000000 
503 75.000000 1.000000 1.000000 
504 74.000000 1.000000 1.000000 
505 73.000000 1.000000 1.000000 
506 72.000000 1.000000 1.000000 
507 71.000000 1.000000 1.000000 
508 70.000000 1.000000 1.000000 
509 69.000000 1.000000 1.000000 
510 68.000000 1.000000 1.000000 
511 67.000000 1.000000 1.000000 
512 66.000000 1.000000 1.000000 
513 65.000000 1.000000 1.000000 
514 64.000000 1.000000 1.000000 
515 63.000000 1.000000 1.000000 
516 62.000000 1.000000 1.000000 
517 61.000000 1.000000 1.000000 
518 60.000000 1.000000 1.000000 
519 59.000000 1.000000 1.000000 
520 58.000000 1.000000 1.000000 
521 57.000000 1.000000 1.000000 
522 56.000000 1.000000 1.000000 
523 55.000000 1.000000 1.000000 
524 54.000000 1.000000 1.000000 
525 53.000000 1.000000 1.000000 
526 52.000000 1.000000 1.000000 
527 51.000000 1.000000 1.000000 
528 50.000000 1.000000 1.000000 
529 49.000000 1.000000 1.000000 
530 48.000000 1.000000 1.000000 
531 47.000000 1.000000 1.000000 
532 46.000000 1.000000 1.000000 
533 45.000000 1.000000 1.000000 
534 44.000000 1.000000 1.000000 
535 43.000000 1.000000 1.000000 
536 42.000000 1.000000 1.000000 
537 41.000000 1.000000 1.000000 
538 40.000000 1.000000 1.000000 
539 39.000000 1.000000 1.000000 
540 38.000000 1.000000 1.000000 
541 37.000000 1.000000 1.000000 
542 36.000000 1.000000 1.000000 
543 35.000000 1.000000 1.000000 
544 34.000000 1.000000 1.000000 
545 33.000000 1.000000 1.000000 
546 32.000000 1.000000 1.000000 
547 31.000000 1.000000 1.000000 
548 30.000000 1.000000 1.000000 
549 29.000000 1.000000 1.000000 
550 28.000000 1.000000 1.000000 
551 27.000000 1.000000 1.000000 
552 26.000000 1.000000 1.000000 
553 25.000000 1.000000 1.000000 
554 24.000000 1.000000 1.000000 
555 23.000000 1.000000 1.000000 
556 22.000000 1.000000 1.000000 
557 21.000000 1.000000 1.000000 
558 20.000000 1.000000 1.000000 
559 19.000000 1.000000 1.000000 
560 18.000000 1.000000 1.000000 
561 17.000000 1.000000 1.000000 
562 16.000000 1.000000 1.000000 
563 15.000000 1.000000 1.000000 
564 14.000000 1.000000 1.000000 
565 13.000000 1.000000 1.000000 
566 12.000000 1.000000 1.000000 
567 11.000000 1.000000 1.000000 
